itemname,category,sub category,sub sub category,sub sub sub category
AccountsPayable,,,Liabilities,Current liabilities
AccountsReceivable,,Assets and deferred outflows of resources,Assets,Current assets
AccruedExpensesPayable,,,Liabilities,Current liabilities
AccruedInterestPayable,,,Liabilities,Current liabilities
AccruedWagesAndRelatedLiabilitiesPayable,,,Liabilities,Current liabilities
AdjustmentsForTransferOfRevenuesWithinActivities,Statement of activities,Revenues,Adjustments for transfer of revenues within activities,
AdjustmentsInFundBalancesForDecrease(Increase)InAssets,Governmental funds  Balance sheet ,Fund balances,,
AdjustmentsInFundBalancesForIncrease(Decrease)InLiabilities,Governmental funds  Balance sheet ,Fund balances,,
AdjustmentsInFundBalancesForRestatements(ErrorsAndAccountingPolicy),Governmental funds  Balance sheet ,Fund balances,,
AdjustmentsInNetPositionForRestatements(ErrorsAndAccountingPolicy),Statement of activities,Revenues,Net position,
AdvancesFromGrantors,,,Liabilities,Current liabilities
AdvancesFromOtherFunds,Governmental funds  Balance sheet ,Liabilities and deferred inflows of resources and fund balances,Liabilities,
AdvancesToOtherFunds,Governmental funds  Balance sheet ,Assets and deferred outflows of resources,Assets,
AmountHeldForOthers,,,Liabilities,Current liabilities
AuditOpinion,Filing information,,,
AuditStatus,Filing information,,,
AverageNumberOfUtilityCustomers,Filing information,,,
BondsAndInterestPayable,Governmental funds  Balance sheet ,Liabilities and deferred inflows of resources and fund balances,Liabilities,
BondsAndInterestPayableNonCurrent,Statement of net position ,Liabilities and deferred inflows of resources and net position,Liabilities,Non current liabilities
BusinessLicenseTax,,Revenues,General revenues,
CapitalAssetsDepreciable(NetOfAccumulatedDepreciationAndAmortization),Statement of net position ,Assets and deferred outflows of resources,Assets,Non current assets
CapitalAssetsNonDepreciable,Statement of net position ,Assets and deferred outflows of resources,Assets,Non current assets
CapitalOutlay,Governmental funds  Balance sheet ,Expenditures,,
CashAndCashEquivalentsAndInvestments,,Assets and deferred outflows of resources,Assets,Current assets
CashAndCashEquivalentsOthers,,Assets and deferred outflows of resources,Assets,Current assets
